thread_link,thread_title,is_main_post,user,time,text
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2490672-All_Inclusives_accomodating_Disabilities-Traveling_With_Disabilities.html,All-Inclusives accomodating Disabilities,True,luvtheheat9,17 years ago,"I am getting married in February 2010 and we are planning a destination wedding. My sister has Cerbral Palsy and she requires a 2 bedroom suite or an adjoining room so my parents can be close to her. We also need a resort that is accessible with a beach that is fairly flat and fairly calm ocean. I have been researching the Mayan Riviera and Punta Cana but haven't been able to find a resort that will guarantee the kind of room arrangement that we need. If anyone has any recommendations, I would appreciate it. Thanks."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2490672-All_Inclusives_accomodating_Disabilities-Traveling_With_Disabilities.html,All-Inclusives accomodating Disabilities,False,RescueTeam 🇨🇦,17 years ago,"Hi;



I would suggest posting in the Punta Cana forum as well.

http://www.tripadvisor.com/ShowForum-g147293-i28-Punta_Cana_Dominican_Republic.html



Best Regards"
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2490672-All_Inclusives_accomodating_Disabilities-Traveling_With_Disabilities.html,All-Inclusives accomodating Disabilities,False,lilyana,17 years ago,"if im interested in a particular resort/hotel,I just email them directly and ask those type of questions.

then if they reply that they are suitable for my requirements,I then read the reviews,in more detail,on here!"
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2490672-All_Inclusives_accomodating_Disabilities-Traveling_With_Disabilities.html,All-Inclusives accomodating Disabilities,False,AskOksana,17 years ago,"The ocean in the Mayan Riviera is NOT calm... there's also a travel alert for Cancun, Mexico from US, British gov't.



Anguilla in the British West Indies has beautiful, calm beaches, US$ & very friendly locals. Check directly w/ a resort.



Also, Marriott hotels are excellent, find an island that you want to visit & contact the Marriott property directly. The Marriott Palm Desert, in CA is totally accessible, if you like a desert climate.



I'd also contact Club Med (Caribbean clubs), Sandals (and if you like kids) Beaches.com to ascertain which ones are accessible in Jamaica or Caribbean. Contact the resorts directly, do not take the opinion of an 800 operator.



We were misinformed by the Peninsula operator that an accessible toilet seat was n/a in Bangkok, but when we checked in, I called housekeeping & they brought one over in a few minutes with rubber mats to make the floor around the toilet safe.



Four Seasons also are excellent, if you can afford it. BTW, if you're getting a lot of rooms, negotiate with their sales office for a better room rate."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2490672-All_Inclusives_accomodating_Disabilities-Traveling_With_Disabilities.html,All-Inclusives accomodating Disabilities,False,Vacation-Loca,17 years ago,"The calm waters in the Cancun area are the ones between Downtown and the Dreams Cancun resort (along the top of the ""7""). I think this is an old map but it will give you SOME current hotel names. Anything before #28 (Dreams Cancun) is calm water. Casa Maya may have family suites and it is on calm water. 



http://www.travelyucatan.com/cancun_hotel_map.php



Punta Cana is beautiful but the water is not as calm. Their are some calm beaches in the Bahamas, too. 



Hope that helps!"
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2490672-All_Inclusives_accomodating_Disabilities-Traveling_With_Disabilities.html,All-Inclusives accomodating Disabilities,False,,16 years ago,This topic has been closed to new posts due to inactivity.What are forum guidelines?
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2712983-A_slight_change_to_the_title-Traveling_With_Disabilities.html,A slight change to the title?,True,LesRose,17 years ago,"I realize this is a new forum, not much going on here - but the ""Traveling with Disabilities"" is buried under everything else that is broken down. For instance: all others don't start with Travel (it's a bit redundant) - Romance Travel, Single Travelers, etc..... 

All the links that CW is collecting is fantastic! 



I would really like to see it in a better spot on the listings. 

Although in general the information gets asked often on our forums, it's still a misplaced Forum title."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2712983-A_slight_change_to_the_title-Traveling_With_Disabilities.html,A slight change to the title?,False,susan s,17 years ago,"Initially, I did think the name of this forum was fine, but in an attempt to 'bump' it up a bit alphabetically, I came up with:



<<<< Accessible Travel Forum: Traveling with Disabilities >>>>



Would this put the forum 'first' in line on that long list of TA forums? 



I think this forum thread should be part of a Sticky or FAQ for each TA forum and be more prominently displayed."
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2712983-A_slight_change_to_the_title-Traveling_With_Disabilities.html,A slight change to the title?,False,Honu_Ohana,17 years ago,I think that's a good idea--moving it up.
https://www.tripadvisor.com/ShowTopic-g1-i12336-k2712983-A_slight_change_to_the_title-Traveling_With_Disabilities.html,A slight change to the title?,False,susan s,17 years ago,"Hi there: We have another discussion going on the ""Feedback Forum"" regarding this issue if you wanted to check over there as well."
